i,j,k,x,y,z
0,0,0,-1.088257665000856e+00,0.000000000000000e+00,-2.930429339408875e+00
0,0,1,-1.088257665000856e+00,0.000000000000000e+00,3.082856059074402e+00
0,1,0,2.750896374397050e+00,2.104241689046224e+00,-2.579583679280675e+00
0,1,1,2.750896374397050e+00,2.104241689046224e+00,2.715644013915113e+00
0,2,0,9.293760839886664e+00,4.208483378092448e+00,-2.095965182170661e+00
0,2,1,9.293760839886664e+00,4.208483378092448e+00,2.212696755229753e+00
0,3,0,1.504633897781372e+01,6.312725067138672e+00,-1.529123646020889e+00
0,3,1,1.504633897781372e+01,6.312725067138672e+00,1.654786807298660e+00
0,4,0,1.867837487690926e+01,8.416966756184896e+00,-1.074979702428330e+00
0,4,1,1.867837487690926e+01,8.416966756184896e+00,1.161456906610145e+00
0,5,0,2.112172648426734e+01,1.052120844523112e+01,-7.095968985425261e-01
0,5,1,2.112172648426734e+01,1.052120844523112e+01,7.571624650580531e-01
0,6,0,2.306640052795410e+01,1.262545013427734e+01,-4.721985802054405e-01
0,6,1,2.306640052795410e+01,1.262545013427734e+01,5.010997101664543e-01
0,7,0,2.459527974481608e+01,1.472969182332357e+01,-3.663568596159794e-01
0,7,1,2.459527974481608e+01,1.472969182332357e+01,3.884333320462954e-01
0,8,0,2.573787866459375e+01,1.683393351236979e+01,-3.403643734164421e-01
0,8,1,2.573787866459375e+01,1.683393351236979e+01,3.618233086909665e-01
0,9,0,2.685569526672364e+01,1.893817520141602e+01,-3.245393902063370e-01
0,9,1,2.685569526672364e+01,1.893817520141602e+01,3.501433998346329e-01
0,10,0,2.808311650112605e+01,2.104241689046224e+01,-3.081547014694540e-01
0,10,1,2.808311650112605e+01,2.104241689046224e+01,3.231864511667058e-01
0,11,0,2.931385688270910e+01,2.314665857950846e+01,-2.747502617825385e-01
0,11,1,2.931385688270910e+01,2.314665857950846e+01,2.906968035615606e-01
0,12,0,3.057684890747070e+01,2.525090026855469e+01,-2.449006266891957e-01
0,12,1,3.057684890747070e+01,2.525090026855469e+01,2.594242073595524e-01
