Y,Z,Tangent_Y,Tangent_Z,Normal_Y,Normal_Z
3.73747,4.8921899999999985,0.999766198394482,0.021622870943640397,-0.021622870943640397,0.999766198394482
3.8234092307692307,4.893842626700571,0.999857366493541,0.01688924712949032,-0.01688924712949032,0.999857366493541
3.9093484615384617,4.89510349196321,0.9999217497014786,0.01250977513521333,-0.01250977513521333,0.9999217497014786
3.9952876923076923,4.896003135909396,0.9999640024597908,0.008484915120099173,-0.008484915120099173,0.9999640024597908
4.081226923076923,4.896572098660602,0.9999884078202442,0.0048150000138190464,-0.0048150000138190464,0.9999884078202442
4.1671661538461535,4.89684092033831,0.9999988746120214,0.0015002582080145552,-0.0015002582080145552,0.9999988746120214
4.253105384615385,4.896840141063994,0.9999989354171885,-0.0014591656826962722,0.0014591656826962722,0.9999989354171885
4.339044615384616,4.896600300959134,0.9999917452012109,-0.00406319202554763,0.00406319202554763,0.9999917452012109
4.424983846153847,4.896151940145206,0.9999800804591129,-0.006311789364829629,0.006311789364829629,0.9999800804591129
4.510923076923077,4.895525598743688,0.9999663387522485,-0.00820495962349474,0.00820495962349474,0.9999663387522485
4.596862307692308,4.894751816876058,0.9999525385253671,-0.009742725320669537,0.009742725320669537,0.9999525385253671
4.682801538461538,4.8938611346637915,0.9999403191085914,-0.010925118809806655,0.010925118809806655,0.9999403191085914
4.768740769230769,4.892884092228371,0.9999309408239702,-0.011752173538969046,0.011752173538969046,0.9999309408239702
4.85468,4.891851229691269,0.9999252851313649,-0.012223917332779206,0.012223917332779206,0.9999252851313649
4.940619230769231,4.8907930871739635,0.9999238547635318,-0.01234036769465183,0.01234036769465183,0.9999238547635318
5.026558461538461,4.889740204797933,0.9999267738153473,-0.012101529127814847,0.012101529127814847,0.9999267738153473
5.112497692307692,4.888723122684657,0.999933787767194,-0.011507392474071558,0.011507392474071558,0.999933787767194
5.198436923076923,4.887772380955608,0.9999442634375768,-0.010557936270023703,0.010557936270023703,0.9999442634375768
5.284376153846154,4.88691851973227,0.9999571888750828,-0.009253130121320913,0.009253130121320913,0.9999571888750828
5.370315384615385,4.886192079136117,0.999971173214856,-0.007592940096186279,0.007592940096186279,0.999971173214856
5.456254615384616,4.8856235992552275,0.9999844460516453,-0.005577423669039202,0.005577423669039202,0.9999844460516453
5.542193846153847,4.885228912567285,0.9999931069117628,-0.0037129676755185397,0.0037129676755185397,0.9999931069117628
5.628133076923077,4.884967324954824,0.999996924828269,-0.0024799866946038462,0.0024799866946038462,0.999996924828269
5.714072307692308,4.884784564229229,0.9999982355980424,-0.001878510261405698,0.001878510261405698,0.9999982355980424
5.800011538461538,4.884626358201889,0.9999981787214508,-0.0019085475580450874,0.0019085475580450874,0.9999981787214508
5.885950769230769,4.884438434684191,0.9999966972921486,-0.0025700982072689622,0.0025700982072689622,0.9999966972921486
5.97189,4.8841665214875265,0.9999925380015017,-0.00386315173340833,0.00386315173340833,0.9999925380015017
6.057829230769231,4.8837563464232785,0.9999832512647889,-0.005787675690802963,0.005787675690802963,0.9999832512647889
6.143768461538461,4.883153637302838,0.9999651916265921,-0.008343592463243772,0.008343592463243772,0.9999651916265921
6.229707692307692,4.88230412193759,0.9999335187529246,-0.011530744745882789,0.011530744745882789,0.9999335187529246
6.3156469230769225,4.881153528138928,0.9998821994673822,-0.015348849737692112,0.015348849737692112,0.9998821994673822
6.401586153846154,4.87967087895449,0.9998202981114028,-0.018957095885853092,0.018957095885853092,0.9998202981114028
6.487525384615385,4.877928035333226,0.9997709912189263,-0.02140011955867086,0.02140011955867086,0.9997709912189263
6.573464615384616,4.876025227004529,0.9997428344751045,-0.022677409809851903,0.022677409809851903,0.9997428344751045
6.659403846153847,4.874062684610594,0.9997402913633647,-0.02278924800633891,0.02278924800633891,0.9997402913633647
6.745343076923077,4.872140638793618,0.9997637526326907,-0.021735660141808045,0.021735660141808045,0.9997637526326907
6.831282307692308,4.870359320195795,0.9998095367320589,-0.019516410008653607,0.019516410008653607,0.9998095367320589
6.917221538461538,4.868818959459323,0.99986988592967,-0.016131063541778252,0.016131063541778252,0.99986988592967
7.003160769230769,4.8676197872263955,0.9999329596909448,-0.011579124479312105,0.011579124479312105,0.9999329596909448
7.0891,4.866862034139212,0.999982828636975,-0.005860241564527136,0.005860241564527136,0.999982828636975
7.175039230769231,4.866645875456367,0.9999994911144955,0.0010088462471545595,-0.0010088462471545595,0.9999994911144955
7.260978461538461,4.867022394337831,0.9999716120167208,0.007534929374639618,-0.007534929374639618,0.9999716120167208
7.346917692307692,4.867903456629253,0.9999187195894869,0.012749675075126615,-0.012749675075126615,0.9999187195894869
