TITLE = "FUSE_END FFD Box Wireframe"
VARIABLES = "X", "Y", "Z"
ZONE T="FUSE_END FFD Box Wireframe", N=24, E=12, ZONETYPE=FELINESEG, DATAPACKING=POINT
3.600000000000000e+01 0.000000000000000e+00 -3.842339320108294e-01
3.800000000000000e+01 0.000000000000000e+00 -3.842339320108294e-01
3.800000000000000e+01 0.000000000000000e+00 -3.842339320108294e-01
3.800000000000000e+01 4.000000000000000e+00 -3.842339320108294e-01
3.800000000000000e+01 4.000000000000000e+00 -3.842339320108294e-01
3.600000000000000e+01 4.000000000000000e+00 -3.842339320108294e-01
3.600000000000000e+01 4.000000000000000e+00 -3.842339320108294e-01
3.600000000000000e+01 0.000000000000000e+00 -3.842339320108294e-01
3.600000000000000e+01 0.000000000000000e+00 6.960309585556388e-01
3.800000000000000e+01 0.000000000000000e+00 6.960309585556388e-01
3.800000000000000e+01 0.000000000000000e+00 6.960309585556388e-01
3.800000000000000e+01 4.000000000000000e+00 6.960309585556388e-01
3.800000000000000e+01 4.000000000000000e+00 6.960309585556388e-01
3.600000000000000e+01 4.000000000000000e+00 6.960309585556388e-01
3.600000000000000e+01 4.000000000000000e+00 6.960309585556388e-01
3.600000000000000e+01 0.000000000000000e+00 6.960309585556388e-01
3.600000000000000e+01 0.000000000000000e+00 -3.842339320108294e-01
3.600000000000000e+01 0.000000000000000e+00 6.960309585556388e-01
3.800000000000000e+01 0.000000000000000e+00 -3.842339320108294e-01
3.800000000000000e+01 0.000000000000000e+00 6.960309585556388e-01
3.800000000000000e+01 4.000000000000000e+00 -3.842339320108294e-01
3.800000000000000e+01 4.000000000000000e+00 6.960309585556388e-01
3.600000000000000e+01 4.000000000000000e+00 -3.842339320108294e-01
3.600000000000000e+01 4.000000000000000e+00 6.960309585556388e-01
1 2
3 4
5 6
7 8
9 10
11 12
13 14
15 16
17 18
19 20
21 22
23 24
