X,Y,Z
27.31963585,3.37827488,3.55546048
28.09339206,3.38175151,3.37173366
27.89890895,3.38093820,3.41332822
27.12812479,3.37700310,3.60820771
26.93766966,3.37542995,3.66372763
26.24657443,3.58472561,3.98862116
26.35393002,3.48743614,3.90517175
26.22136991,3.38094035,3.91758241
26.42441125,3.62414897,3.92959976
26.57012290,3.36279781,3.77840463
26.39851960,3.35654802,3.83811195
28.28848562,3.38254535,3.33332550
28.48426940,3.38330180,3.29817376
28.68081115,3.38404985,3.26644426
27.70511794,3.38016353,3.45793689
25.79574510,3.44710900,4.15686864
25.85851699,3.32148296,4.06127368
27.10283912,4.14281663,3.86997648
25.96275606,3.45291948,4.06691197
25.95557075,3.33066352,4.01627926
26.05022768,3.34294426,3.97680739
25.95050287,3.21005055,3.96656244
26.10790083,3.48204645,4.00879556
26.07734843,3.61785871,4.08221725
26.81711294,4.12408845,3.96353052
26.95914531,4.11041901,3.90745893
26.70134985,4.03552056,3.97538470
26.49115625,3.76791934,3.95789859
25.34232102,3.14197012,4.32240728
25.31343950,3.09790101,4.31681651
25.36412539,3.11049142,4.27446642
25.50767545,3.30910703,4.28489908
25.53119016,3.14156901,4.16421356
25.43391973,3.12585661,4.22522802
27.79106088,3.21472146,3.38487408
27.98607347,3.21541933,3.34208573
27.59685039,3.21395222,3.43061029
27.40345538,3.21302896,3.47906966
28.37818618,3.21672673,3.26615352
28.18178626,3.21606332,3.30246991
27.21093539,3.21181857,3.53009554
27.01947510,3.21017266,3.58356743
26.11584546,3.20361403,3.89090392
26.34840815,3.72650148,4.00133337
25.78769841,3.18265795,4.03460050
26.28754002,3.20529159,3.82295929
26.46024979,3.19955090,3.75758661
28.87800169,3.38481528,3.23817525
28.77315121,3.21802329,3.20391450
26.21754063,3.73162749,4.06280664
26.64265234,3.20419489,3.69740907
26.82960052,3.20763815,3.63936018
26.57615750,3.98635197,4.00694034
28.57532911,3.21739189,3.23329381
27.23852732,4.40060655,3.91115469
25.22824208,3.05449995,4.40022258
25.23255567,3.06961303,4.42251851
25.24637967,3.08524774,4.41379375
25.21935316,3.05450145,4.43341949
25.25384498,3.08110367,4.38641580
25.24618415,3.05435788,4.36345810
25.27588276,3.05401262,4.32161274
25.31981077,3.05340234,4.27436655
25.38160640,3.05247848,4.22038362
25.70696358,3.04830666,4.01488523
26.35307531,3.04394522,3.73829870
26.17907835,3.04425890,3.80286453
25.46601826,3.05119373,4.15815366
26.72004712,3.04516734,3.61689741
26.53397525,3.04447989,3.67640519
26.90975852,3.04596818,3.55972576
28.07426756,3.05062957,3.27154689
28.27129740,3.05118171,3.23400418
27.68258313,3.04933056,3.35633876
27.48798675,3.04852942,3.40322243
28.66750308,3.05225449,3.16941325
28.46906695,3.05173442,3.19994737
25.85453445,3.04692780,3.94140549
27.10141092,3.04681088,3.50502217
27.29423894,3.04767814,3.45282469
29.06604441,3.05313920,3.11882054
29.17044858,3.21915805,3.15553248
29.26599094,3.05346132,3.09872056
27.87801615,3.05004186,3.31237603
26.01289714,3.04540897,3.87040581
28.97151966,3.21863040,3.17796615
28.86651701,3.05272641,3.14233527
25.57559058,3.04959942,4.08830597
