X,Y,Z
39.5331,15.7252,4.87324
37.7986,15.7371,4.65394
36.1054,15.7419,4.64733
35.5836,16.5934,5.0244
40.3136,16.5859,5.20319
37.2527,16.5919,5.26631
40.9962,16.5825,5.12064
35.5988,16.596,4.85527
40.7397,16.5824,5.05366
41.0737,16.5961,5.06536
36.9103,16.582,4.72015
36.1479,17.4531,5.00543
36.151,17.4483,5.03182
39.5393,17.4577,5.37333
39.6998,17.4548,5.36821
40.1779,17.4532,5.34187
38.981,17.4512,5.37699
38.7942,17.4429,5.37409
36.1555,17.4495,4.97979
38.4503,17.4577,4.81294
38.2641,17.4453,4.80634
41.5217,17.4565,5.1509
41.5985,17.4411,5.14494
37.0839,18.2975,5.23895
40.8443,18.3007,5.40595
41.6711,18.3113,5.32233
41.7728,18.2978,5.30824
41.9388,18.2954,5.28531
42.1702,18.2961,5.23726
37.6797,18.3026,5.33608
42.2322,18.2982,5.21602
42.2323,18.2982,5.20947
42.2325,18.2982,5.20292
37.1058,18.307,4.97099
37.5216,18.3067,4.92877
40.1263,18.2988,4.99913
40.4986,18.3115,5.0521
42.171,18.2949,5.21732
42.5592,19.1518,5.34474
42.6203,19.1564,5.32962
42.6785,19.1621,5.31038
42.6787,19.162,5.30383
42.6788,19.162,5.29729
41.9608,19.1666,5.29921
42.3009,19.1644,5.32974
42.4851,19.1687,5.3287
42.5527,19.1617,5.3218
42.6175,19.1596,5.31187
41.4957,19.1554,5.47617
41.7978,19.1578,5.44656
39.9793,19.1534,5.02956
39.7909,19.1562,5.0172
39.6026,19.1557,5.00731
39.4144,19.1537,4.99994
42.661,20.0169,5.49907
42.8581,20.0254,5.47474
42.9338,20.0235,5.46133
43.0023,20.0222,5.44664
43.0652,20.0227,5.43025
43.1246,20.0254,5.40965
43.1248,20.0254,5.4031
43.125,20.0254,5.39655
41.076,20.0238,5.18996
42.9455,20.0196,5.42482
43.0021,20.0218,5.42005
43.0662,20.0216,5.41044
38.7756,20.0242,5.48217
41.2964,20.014,5.6069
40.6675,20.0111,5.61064
40.4779,20.012,5.60761
40.2872,20.0221,5.60342
40.0975,20.0239,5.59656
39.9078,20.0269,5.58769
42.9462,20.8773,5.62017
43.3961,20.8776,5.56118
43.4535,20.88,5.54921
43.5138,20.8833,5.53387
43.451,20.883,5.52412
43.5125,20.8849,5.51537
39.1755,20.8712,5.53889
38.8401,20.8694,5.30075
43.28,21.7251,5.73835
41.4465,21.7298,5.79146
39.5614,21.7244,5.39398
42.9694,21.7345,5.54457
41.6701,21.7366,5.3693
40.1979,22.5795,5.68915
43.4423,22.5939,5.87918
42.9812,22.5959,5.90397
42.8216,22.5934,5.90699
43.731,22.5908,5.8533
41.7096,22.5787,5.88123
40.2149,22.591,5.51386
43.2124,22.5924,5.62199
43.3851,22.5864,5.6513
43.8686,22.5831,5.7283
41.9358,22.5956,5.47402
40.7474,23.4545,5.75849
43.8892,23.4495,5.99724
44.0211,23.4486,5.98696
42.8413,23.452,6.01619
44.6167,23.4543,5.92751
44.6997,23.4367,5.91099
41.719,23.4458,5.94892
40.7871,23.4397,5.65373
43.9633,23.4432,5.79384
44.7585,24.3054,6.0869
42.7998,24.3081,6.10739
41.5981,24.2974,5.756
41.92,24.2987,5.72971
44.3007,24.2989,5.9005
43.2319,24.2932,5.75483
42.5478,25.1667,6.14424
44.1876,25.1652,6.2647
