X,Y,Z
29.1104,7.09535,4.81711
28.7044,6.42822,4.83233
28.1142,5.38671,4.86066
30.5308,8.75179,4.837
30.708,9.02241,4.83674
29.7821,7.54929,4.84631
29.9748,7.86858,4.84261
33.5566,8.74992,4.85431
33.4611,8.95014,4.87192
33.3422,8.80549,4.86902
33.4064,8.61819,4.85396
33.2475,8.67997,4.86611
35.3822,8.64387,4.69146
35.3372,8.81672,4.71577
35.2379,8.75329,4.71942
35.237,8.59742,4.70234
35.1101,8.67781,4.7246
37.0097,9.68919,4.60819
37.1428,9.84528,4.60864
36.9882,9.90625,4.63607
36.8477,9.80025,4.64261
33.7747,8.46235,4.81926
33.9733,8.54033,4.81125
33.8303,8.63305,4.82883
33.7044,8.62996,4.83691
31.2245,10.6488,4.75305
31.156,10.6555,4.73164
31.2016,10.5785,4.75908
31.1088,10.6017,4.72821
31.1195,10.5168,4.74863
38.2472,10.706,4.53282
38.2451,10.7522,4.5389
38.2082,10.7344,4.54551
38.187,10.6936,4.54551
38.3203,10.8057,4.52546
38.3211,10.8292,4.5282
38.3004,10.8228,4.53322
38.2874,10.7998,4.53387
37.0246,3.09426,3.58725
37.0273,3.10581,3.5892
37.017,3.10122,3.59119
34.1184,7.00162,4.64332
34.02,7.12613,4.66828
33.9187,6.96227,4.66081
34.303,7.01467,4.6238
34.2013,7.19914,4.65687
33.9305,6.58375,4.61584
33.8401,6.67702,4.63703
33.7401,6.52165,4.63046
34.0204,6.738,4.62363
33.8313,6.80508,4.65261
33.6667,6.74029,4.66322
33.7023,6.92717,4.67994
33.5534,6.61665,4.66176
34.225,6.83801,4.61172
34.0725,6.88154,4.63452
33.948,6.4323,4.59579
33.5197,6.89275,4.69504
33.7276,7.10093,4.69599
33.9724,7.62461,4.72638
34.1056,7.61124,4.71207
34.0746,7.74284,4.7287
33.8536,7.48507,4.72352
34.0432,7.48178,4.70461
33.8214,7.32166,4.70983
33.7329,7.25056,4.71116
33.873,7.17196,4.68876
33.6581,7.40495,4.73395
34.1988,7.51737,4.69262
34.3705,7.5703,4.68047
34.2431,7.70796,4.70861
33.5496,7.06192,4.70968
33.4057,7.01754,4.71917
33.9916,7.30378,4.6908
34.3878,7.13929,4.62885
34.493,7.03195,4.60339
34.5325,7.18063,4.61685
33.4545,6.74314,4.68588
34.2426,6.6282,4.584
34.0914,6.53042,4.59042
33.821,6.3177,4.59726
33.972,6.27763,4.57422
34.4291,6.87589,4.59186
33.6336,6.32773,4.62031
33.5118,6.47162,4.65024
33.436,6.31079,4.64072
33.3872,6.60073,4.67769
33.3204,6.45234,4.66882
34.2769,6.42077,4.55382
33.5846,7.23902,4.72432
34.4068,6.70633,4.57341
32.8205,6.0969,4.68425
32.7141,6.18946,4.7045
32.7088,5.97815,4.68383
32.9363,6.11245,4.67365
32.8622,6.23919,4.69443
34.8045,7.54994,4.62931
34.8635,7.65959,4.63557
34.7204,7.66905,4.6533
34.7999,7.38961,4.61027
34.9575,7.51504,4.60646
34.1452,7.37461,4.68258
34.0786,6.15597,4.54593
34.1143,6.33407,4.56351
33.7258,6.15874,4.58983
34.4089,7.27026,4.64192
34.2996,7.39085,4.66794
34.5504,6.76338,4.5625
33.2608,6.74369,4.70557
33.195,6.59039,4.69643
34.5493,7.30506,4.62989
33.2471,6.28995,4.65917
33.3542,6.15415,4.63243
33.1272,6.42801,4.68653
33.0511,6.23525,4.67434
34.6161,6.90142,4.57179
34.6962,7.07991,4.58438
33.537,6.15643,4.61179
33.8979,6.14824,4.56764
34.3156,6.17712,4.51779
33.3384,6.89233,4.71306
34.4246,6.51262,4.54654
34.448,6.33298,4.5203
34.4931,7.43723,4.65191
34.6402,7.38014,4.62824
34.6781,7.25678,4.6087
34.8396,7.2012,4.5817
34.9745,7.30598,4.57788
34.7373,6.73746,4.53476
32.2513,6.08953,4.74016
32.3082,5.93694,4.72054
32.3927,6.05665,4.72356
32.3677,5.77595,4.69908
32.5002,5.91109,4.69875
34.4406,7.7504,4.69302
34.3461,7.90341,4.71903
33.2465,7.05311,4.7377
33.6278,5.98457,4.58112
34.599,6.59434,4.53432
33.8143,7.69921,4.74846
33.9487,7.7514,4.74134
33.0662,6.01569,4.64935
32.9348,6.39965,4.70327
33.0024,6.57173,4.71377
33.0642,6.74113,4.7245
33.1931,6.14058,4.64887
33.2586,5.99333,4.62536
34.5609,5.91424,4.44975
34.4931,6.05657,4.47803
34.3744,5.94989,4.48054
34.5322,6.19268,4.49054
34.5487,7.62661,4.66757
34.6715,7.51185,4.64034
33.6801,7.58022,4.74904
33.4679,7.60073,4.76942
33.6201,7.75006,4.77019
33.4439,7.38462,4.75147
34.1793,5.98611,4.51155
34.5767,6.39997,4.51179
34.5617,6.29491,4.49997
33.9905,5.98368,4.53589
33.4382,5.99274,4.60459
33.8078,5.98414,4.55903
33.1428,6.90397,4.73293
33.3834,7.19829,4.73912
34.6923,6.26066,4.47734
32.8885,5.96811,4.66367
32.7485,6.37386,4.71919
32.6457,5.7661,4.66888
32.5086,5.72753,4.67959
32.5837,5.58479,4.65695
32.8169,5.79389,4.65317
34.1707,7.89008,4.73455
34.5191,7.93321,4.70486
34.4343,8.07124,4.72793
35.1169,7.04603,4.52473
35.1251,7.20443,4.54482
34.9872,7.12428,4.55262
35.2566,7.08404,4.51058
33.4205,7.9718,4.80518
33.4434,7.81799,4.79057
33.5763,7.95088,4.79157
33.3253,7.7478,4.7938
33.2722,7.64628,4.78934
33.278,7.50369,4.77655
33.1742,7.76526,4.80655
33.101,7.61642,4.79999
32.3568,6.20571,4.74083
32.4465,6.30841,4.74183
32.2903,6.4028,4.76432
32.5855,6.33394,4.7311
32.4507,6.47659,4.75659
33.8795,7.83533,4.75575
34.0068,7.87188,4.74789
33.8863,8.0026,4.77091
34.7459,6.43087,4.49274
34.7846,6.57202,4.50637
34.8837,6.63582,4.5013
34.8764,6.14764,4.43569
34.8691,6.30929,4.45887
34.9567,6.4618,4.46727
33.7485,7.87687,4.77097
32.5355,6.13864,4.71736
34.6849,6.05562,4.45086
34.2633,5.79352,4.47576
32.8659,6.72182,4.74129
32.9181,6.91874,4.7548
34.8685,7.05232,4.5588
33.894,5.80895,4.5269
33.5213,5.81215,4.57389
33.7106,5.81161,4.55051
33.1598,5.82553,4.61808
33.341,5.8213,4.59651
35.0065,7.71966,4.62577
34.8298,7.8331,4.66009
32.1426,5.97198,4.73975
32.8,6.54597,4.73081
34.6213,7.79762,4.6791
34.6442,5.75924,4.41726
34.4471,5.77553,4.44778
34.0786,5.81031,4.50288
32.9815,5.81727,4.63739
33.0473,7.08036,4.75817
34.9232,6.77793,4.51507
34.8102,6.91871,4.54896
33.1709,7.22532,4.76064
33.2737,7.3465,4.76282
33.0945,7.41324,4.78359
32.9531,7.93043,4.83383
32.852,7.96027,4.84192
32.8046,7.82745,4.83586
33.074,8.0244,4.83289
32.8886,8.10698,4.84934
32.6176,6.51685,4.74511
31.9453,6.1481,4.77279
31.972,6.01398,4.75918
32.0863,6.12116,4.75813
32.0077,5.85786,4.74224
32.9974,8.29309,4.85518
33.0618,8.16821,4.84356
33.1319,8.26568,4.84604
32.848,8.30259,4.86317
34.5858,8.10863,4.71694
34.2699,8.08444,4.74482
32.1946,5.81658,4.72041
35.0027,6.94243,4.52637
35.06,8.25442,4.68302
35.0016,8.10261,4.67206
35.1494,8.10102,4.65486
34.8686,8.03619,4.67924
35.0409,7.93415,4.64767
32.7437,7.01274,4.77797
32.7167,6.86583,4.76758
32.5731,7.00127,4.79071
34.7289,5.89336,4.42272
34.1591,5.62678,4.46911
33.422,5.64017,4.56614
35.0745,6.78848,4.49553
32.2394,5.64971,4.70001
32.0651,5.69652,4.72201
32.8549,7.12204,4.77815
33.2583,7.929,4.81347
32.4151,5.60506,4.67722
35.0357,6.63944,4.48051
32.9795,7.26064,4.77983
35.1888,7.78537,4.61146
35.241,7.96149,4.62688
32.7558,5.60126,4.63963
32.1854,6.24788,4.76023
33.4825,8.08145,4.80955
33.349,8.10858,4.8211
33.7967,5.63101,4.51798
34.8853,5.96719,4.4097
34.8692,5.77061,4.38546
34.5363,5.59809,4.41203
34.7588,5.57923,4.37667
31.9619,5.55227,4.71886
31.8623,5.72743,4.74436
31.8708,5.4085,4.71463
32.0636,5.37347,4.69148
32.1213,5.54742,4.70228
35.1569,7.59121,4.59093
34.3414,5.61257,4.44188
34.6969,7.97484,4.69089
35.1321,7.39382,4.56874
33.0728,5.65355,4.60918
32.9128,5.63531,4.62556
32.6636,6.69205,4.75684
33.2383,5.65218,4.58961
33.6057,8.14048,4.80534
35.0563,6.2506,4.42355
33.719,8.03031,4.78719
34.0796,8.04493,4.75816
33.607,5.63026,4.54208
34.2953,8.28683,4.76236
34.3882,8.20823,4.74625
34.4472,8.38758,4.75858
34.1579,8.2231,4.76829
33.7874,8.21574,4.79791
32.483,6.65893,4.76964
31.6442,5.5517,4.7495
31.5662,5.69425,4.76857
31.445,5.55272,4.76776
31.7136,5.66725,4.75299
31.2785,5.64526,4.78935
31.2351,5.48035,4.78036
31.2156,5.79646,4.80538
31.1057,5.65259,4.80377
33.4611,8.23561,4.82322
34.4943,8.21114,4.73658
34.6152,8.28406,4.73247
33.0923,7.88212,4.82133
33.0068,7.78148,4.81957
32.6788,5.39426,4.6264
35.0647,6.0586,4.39556
35.246,6.13778,4.37934
35.2029,6.89192,4.49171
32.9197,7.6732,4.81741
32.9346,7.53073,4.80545
32.918,7.39453,4.79583
32.7762,7.464,4.81167
34.7439,8.16269,4.70667
34.9039,8.21703,4.69582
34.7773,8.35291,4.72372
34.9426,8.40958,4.71297
34.9266,5.60826,4.35516
34.907,5.48877,4.34243
35.0419,5.51814,4.32562
33.1938,8.13564,4.83329
35.164,6.51511,4.44476
35.2006,6.68341,4.46304
35.2978,6.39758,4.40839
35.3409,6.55845,4.42487
33.0015,5.50154,4.60079
33.9795,5.63306,4.49419
34.0655,5.45025,4.4601
31.8007,5.56005,4.73537
31.8115,6.08719,4.77922
32.7983,7.2972,4.7971
33.9857,8.19764,4.78048
32.5265,6.83846,4.78114
35.3462,7.65644,4.57471
33.697,5.43412,4.50742
33.3208,5.46837,4.55886
33.5072,5.45242,4.53387
32.0882,6.41282,4.78231
32.3137,6.61139,4.77987
31.7308,5.43555,4.73099
31.5864,5.39701,4.74152
33.1116,8.41116,4.85655
33.2817,8.30387,4.8398
35.2994,8.09985,4.63674
35.259,8.26083,4.66101
35.4206,8.01501,4.61104
35.4369,8.17612,4.62915
31.3911,5.74434,4.78755
