"PointID","x","y","z"
268, 5.689335281795473e+01, 1.808284914012656e+00, 6.493099408254101e+00
269, 5.689606582901765e+01, 1.811469887868697e+00, 6.493539097193131e+00
270, 5.689954406570914e+01, 1.815553208087592e+00, 6.494102803777842e+00
271, 5.690397325962952e+01, 1.820752916644798e+00, 6.494820628928730e+00
272, 5.690955909873669e+01, 1.827310483535466e+00, 6.495725907828688e+00
273, 5.691655551123802e+01, 1.835524011009473e+00, 6.496859793802009e+00
274, 5.692530119749743e+01, 1.845791120668456e+00, 6.498277178922557e+00
275, 5.693622248463354e+01, 1.858612304657683e+00, 6.500047156649270e+00
276, 5.694985091408998e+01, 1.874611572817868e+00, 6.502255872186856e+00
277, 5.696684727933751e+01, 1.894564672051557e+00, 6.505010418198536e+00
278, 5.698803510976482e+01, 1.919438395162680e+00, 6.508444261432057e+00
279, 5.701444615304235e+01, 1.950443975456321e+00, 6.512724613899480e+00
280, 5.704736443695266e+01, 1.989088813684931e+00, 6.518059573835675e+00
281, 5.708838471635894e+01, 2.037245092610888e+00, 6.524707598009727e+00
282, 5.713949614804006e+01, 2.097248008143532e+00, 6.532991062635141e+00
283, 5.720318341220789e+01, 2.172014482231156e+00, 6.543312651807500e+00
284, 5.728252059949367e+01, 2.265153382683139e+00, 6.556170573465058e+00
285, 5.738142302245889e+01, 2.381261140497104e+00, 6.572199369666882e+00
286, 5.750572337150338e+01, 2.527185116779520e+00, 6.592344325704516e+00
287, 5.766132333032102e+01, 2.709853668192182e+00, 6.617561908389794e+00
288, 5.785183194075204e+01, 2.933503675322739e+00, 6.648437023475351e+00
289, 5.807167362088862e+01, 3.191589612850169e+00, 6.684066054412388e+00
290, 5.830780109185648e+01, 3.468794461734420e+00, 6.722334470860858e+00
291, 5.855115223458188e+01, 3.754479631988025e+00, 6.761773604456180e+00
292, 5.879836198027225e+01, 4.044694658286836e+00, 6.801838089369444e+00
293, 5.904903073644768e+01, 4.338970433954946e+00, 6.842463164938256e+00
294, 5.930297995125618e+01, 4.637097345773889e+00, 6.883619893840744e+00
295, 5.955896204282134e+01, 4.937610779126407e+00, 6.925106084512306e+00
296, 5.981476206378443e+01, 5.237910468379040e+00, 6.966562767589537e+00
297, 6.006815406348238e+01, 5.535383230429309e+00, 7.007629190439051e+00
298, 6.031667071130443e+01, 5.827132511113840e+00, 7.047905480759065e+00
299, 6.055535722605707e+01, 6.107341582008947e+00, 7.086588633167161e+00
300, 6.078036488242567e+01, 6.371492183062686e+00, 7.123054897184277e+00
301, 6.099136612903325e+01, 6.619199781168494e+00, 7.157251187616851e+00
302, 6.119019922812649e+01, 6.852622427679745e+00, 7.189475425688988e+00
303, 6.138012438767131e+01, 7.075587485218976e+00, 7.220255982774160e+00
304, 6.156111126892257e+01, 7.288059337230297e+00, 7.249587941969947e+00
