"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.151832691,      -3.246866259,      -3.228596717,      -3.161012869,      -2.550497254
          0,           0,           1,      -3.431738562,      -3.601435562,      -3.505541328,      -3.468769639,      -2.819758648
