X,Y,Z
26.03167635,3.28751439,4.81819815
26.11551908,3.18342757,4.84547349
26.17646367,3.32471918,4.83854238
25.95339428,3.18070856,4.81833710
27.14444467,3.39740605,4.90147261
26.94859551,3.38267391,4.89864707
27.05655201,3.21828269,4.90195596
26.28865202,3.20020051,4.86593517
26.36949355,3.38102543,4.85917173
26.58062521,3.37615167,4.88025332
26.66849356,3.21393925,4.89384917
26.76383854,3.37300825,4.89205125
26.48010584,3.21028872,4.88273940
25.88887331,3.30979682,4.78288533
26.86097568,3.21657670,4.90009368
27.25457341,3.21932526,4.89985274
27.36810470,3.42010565,4.90049421
27.45473186,3.21851605,4.89426140
27.56938612,3.38700368,4.89519343
27.65677445,3.21539603,4.88547608
25.69591358,3.32707366,4.71795822
25.78886738,3.18410777,4.78060090
25.64137238,3.16886049,4.73951511
25.70460702,3.04996736,4.78393669
26.20563648,3.05021924,4.86951507
27.15405797,3.04810681,4.89921159
28.27239778,3.20602259,4.84427316
28.16619983,3.04083677,4.83958528
28.37316823,3.03899436,4.82126143
30.37680611,3.18606507,4.62834870
30.26772099,3.02518299,4.61827324
30.47866183,3.02383633,4.59383516
27.86052538,3.21225189,4.87398445
27.75630302,3.04423198,4.87082809
25.56262163,3.05084946,4.74141316
26.03105658,3.04999308,4.84786081
25.86313663,3.04977006,4.81958164
28.58127484,3.03717882,4.80154916
28.48011606,3.20305683,4.82669422
28.89838062,3.19782309,4.78754254
28.68882654,3.20030357,4.80770115
28.79036244,3.03545760,4.78070456
30.89862517,3.02138667,4.54440579
30.79747556,3.18444205,4.57986184
30.68903545,3.02256960,4.56920468
27.55370114,3.04570778,4.88311399
28.06579669,3.20911484,4.86013465
27.96052394,3.04260006,4.85620204
29.00027366,3.03388214,4.75896601
26.38632426,3.05025881,4.88527994
30.58748037,3.18512454,4.60420902
26.57260879,3.05006047,4.89570520
26.76335051,3.04965180,4.90118300
26.95741294,3.04900359,4.90220846
27.35289241,3.04700638,4.89272277
29.10867299,3.19563118,4.76643996
29.21084884,3.03243136,4.73654689
