X,Y,Z
42.90410317,26.17129733,6.29075735
42.95335669,26.13098235,6.30336618
43.04579866,26.25686634,6.33359968
36.17865336,17.09814867,5.13347750
36.10021105,17.16048748,5.10483425
35.94665872,16.95786051,5.08779997
41.46587365,24.12667414,5.93812247
41.55117404,24.05856104,5.95636472
41.66564688,24.21184986,5.97970436
38.90524522,20.50672213,5.49796130
39.04715264,20.39535580,5.52190064
39.18144226,20.57909488,5.54198791
36.29115604,17.00980336,5.16217663
36.44323615,17.21232817,5.17908820
37.81860932,19.27231866,5.33303334
37.74473874,19.33153931,5.30679748
37.59896678,19.13892602,5.28716687
40.69471372,23.23586011,5.78033504
40.75669189,23.18557053,5.80052133
40.87755359,23.34596086,5.82311585
41.63638343,24.47908750,5.96786057
41.69516946,24.43128287,5.98570438
41.80837258,24.58186696,6.00992690
43.22656827,26.50283328,6.39745331
43.17981314,26.54114781,6.38680750
43.08929001,26.41972044,6.35358978
36.70795427,17.96249441,5.17508733
36.65586598,18.00490268,5.14640771
36.50484996,17.80610061,5.12838321
38.36481099,20.35605931,5.32834777
38.36218905,20.36087584,5.30436263
38.22080809,20.17522601,5.28267297
41.78186073,24.85217805,5.94111989
41.78419681,24.84734428,5.96025478
41.89629631,24.99456472,5.98653403
43.46809285,27.06042869,6.49926563
43.46634117,27.06426687,6.48562044
43.38082894,26.95197204,6.44506943
42.11561007,25.29047287,6.02213754
42.11793674,25.28569611,6.04055803
42.22714025,25.42917266,6.06837498
43.55165409,27.17030443,6.54079985
43.29351386,26.83731046,6.40589093
43.29534526,26.83331632,6.42026210
43.38262154,26.94805338,6.45908536
43.20459905,26.72054882,6.36811107
43.20646829,26.71648339,6.38282158
43.11426271,26.60192106,6.33172130
43.11617098,26.59778672,6.34675745
43.02257426,26.48151822,6.29665453
43.02452632,26.47731518,6.31200772
42.92952378,26.35932676,6.26283029
42.93152473,26.35505556,6.27850038
42.83500283,26.23520288,6.23017414
42.83705222,26.23086583,6.24617084
42.73879008,26.10885596,6.19852081
42.74088815,26.10445127,6.21485803
42.64064496,25.97997019,6.16770829
42.64279228,25.97549484,6.18440063
42.54031236,25.84821069,6.13758279
42.54250826,25.84366304,6.15464073
42.43759381,25.71331698,6.10801763
42.43983499,25.70869896,6.12544278
42.33231946,25.57506618,6.07890059
42.33459909,25.57038423,6.09668274
42.22483177,25.43390824,6.05025809
42.00523426,25.14552191,5.99459777
42.00756965,25.14071610,6.01328710
41.89395842,24.99938933,5.96760876
41.66878912,24.70368806,5.91506001
41.67111882,24.69885366,5.93438610
41.55469409,24.55385379,5.88936483
41.55701477,24.54902397,5.90886951
41.43964132,24.40276089,5.86400268
41.44195192,24.39793881,5.88367750
41.32377188,24.25059398,5.83896361
41.32607230,24.24578148,5.85880254
41.20719543,24.09749643,5.81423512
41.20948624,24.09269462,5.83423365
41.09000873,23.94359462,5.78980643
41.09229104,23.93880419,5.80996108
40.97149115,23.78794145,5.76550465
40.97376619,23.78316307,5.78581311
40.85199853,23.63100346,5.74138645
40.85426796,23.62623706,5.76184719
40.73162897,23.47290871,5.71745721
40.73389495,23.46815394,5.73806964
40.60997477,23.31312073,5.69362741
40.61223943,23.30837713,5.71439196
40.48659496,23.15106100,5.66980464
40.48886015,23.14632765,5.69072271
40.36273098,22.98836145,5.64622019
40.36499934,22.98363670,5.66729405
40.23774140,22.82418094,5.62274347
40.24001547,22.81946304,5.64397655
40.11131429,22.65811117,5.59931316
40.11359681,22.65339825,5.62071006
39.98252272,22.48893610,5.57576098
39.98481630,22.48422630,5.59732739
39.85171304,22.31711240,5.55215725
39.85402061,22.31240356,5.57389960
39.71964097,22.14363453,5.52864253
39.72196585,22.13892425,5.55056760
39.58697252,21.96937896,5.50533665
39.58931829,21.96466484,5.52745122
39.45398648,21.79471110,5.48229525
39.45635673,21.78999063,5.50460564
39.31985174,21.61853899,5.45937360
39.32224926,21.61380985,5.48188545
39.18593348,21.44265564,5.43680009
39.18836088,21.43791549,5.45951793
39.05152323,21.26613053,5.41444869
39.05398232,21.26137780,5.43737599
38.91567149,21.08771671,5.39216097
38.91816324,21.08295067,5.41530007
38.77864521,20.90776484,5.36998265
38.78117013,20.90298529,5.39333463
38.64077822,20.72671335,5.34796780
38.64333628,20.72192046,5.37153249
38.50201619,20.54449096,5.32610678
38.50460673,20.53968534,5.34988285
38.07822032,19.98799543,5.26111885
38.08090363,19.98316763,5.28551108
38.22346068,20.17040192,5.30686390
37.93472816,19.79957938,5.23977280
37.93744276,19.79475174,5.26436064
37.79040944,19.61007816,5.21867276
37.79315629,19.60525445,5.24344944
37.64510740,19.41928396,5.19782335
37.64788783,19.41446780,5.22278123
37.49868875,19.22701971,5.17723510
37.50150440,19.22221419,5.20236595
37.35131199,19.03349150,5.15696002
37.35416437,19.02869817,5.18225526
37.20327827,18.83909489,5.13704257
37.20616809,18.83431325,5.16249373
37.05459706,18.64384338,5.11745997
37.05752396,18.63907190,5.14305927
36.90510665,18.44752548,5.09816617
36.90806981,18.44276229,5.12390692
36.75491336,18.25028173,5.07914952
36.75791175,18.24552477,5.10502628
36.60419703,18.05234921,5.06040560
36.60722946,18.04759630,5.08641418
36.45291005,17.85366638,5.04190014
36.45597534,17.84891553,5.06803758
36.30082249,17.65393222,5.02357676
36.30391997,17.64918252,5.04984126
36.14788210,17.45307794,5.00542636
36.15101187,17.44833010,5.03181711
35.99437284,17.25147555,4.98750997
35.99753594,17.24672994,5.01402662
35.84029880,17.04913150,4.96982584
35.84349596,17.04438769,4.99646836
43.56142004,27.16024415,6.55364235
43.47808826,27.05013856,6.51261366
43.30578243,26.82259172,6.43455952
42.75274312,26.09246208,6.23149702
42.45238224,25.69606664,6.14342650
42.55483401,25.83124134,6.17216204
42.13098294,25.27256039,6.05987756
42.24005371,25.41617674,6.08727090
41.79748891,24.83393912,5.98062496
40.62573775,23.29474111,5.73743056
37.22188060,18.81936896,5.19183206
43.39284026,26.93754187,6.47292033
43.12705088,26.58664826,6.36188773
43.21712328,26.70555146,6.39755186
43.03564970,26.46596422,6.32750377
42.94290016,26.34348807,6.29435155
42.84866902,26.21908807,6.26240292
42.65488458,25.96329007,6.20147094
42.34734513,25.55755762,6.11512917
42.02071797,25.12746883,6.03299435
41.90952686,24.98122829,6.00658743
41.57037568,24.53553423,5.92983215
41.68445184,24.68539970,5.95505825
41.45533301,24.38442155,5.90492151
41.33946930,24.23224193,5.88032014
41.22289713,24.07913624,5.85601781
41.10571559,23.92522926,5.83200533
40.98720473,23.76957339,5.80811257
40.86772262,23.61263290,5.78439697
40.74736944,23.45453450,5.76086528
40.37856021,22.96995936,5.69081378
40.50238648,23.13267291,5.71400279
