X,Y,Z
35.05310564,9.02110922,4.76542340
34.21547641,8.75598377,4.81124348
34.35213006,8.82178034,4.80643445
34.24328880,8.95069447,4.82523686
34.50734592,8.79877089,4.79205523
34.41527953,9.00789022,4.81739257
35.61814323,8.82039552,4.68457543
34.96972199,8.61529212,4.73220061
34.83236067,8.75831366,4.75996814
35.79895982,8.15556884,4.57937756
35.99010487,8.22519079,4.56245208
35.79305663,8.87700140,4.67023573
35.96020956,8.03629145,4.54141277
33.38770203,9.30483072,4.89383572
33.49587273,9.35580666,4.89256667
33.40807858,9.46562780,4.90058150
33.60984605,9.28926508,4.88461951
33.57884605,9.49171374,4.89636433
36.06857128,8.98178085,4.64819192
35.63089936,8.98469448,4.70186201
35.49957879,8.95813923,4.71363994
35.73370370,9.12016163,4.70525381
35.53723317,9.14007850,4.72927362
34.85252916,8.98538674,4.78005811
36.18295351,8.29099340,4.54443135
36.11396820,7.91135302,4.50273343
36.14980152,8.10332547,4.52383833
36.30156215,8.85798197,4.60201254
36.20298144,9.02569168,4.63605306
36.30527768,8.67189244,4.57763579
34.06634864,8.88907959,4.83266438
34.56601018,8.98744552,4.80407408
34.68424324,8.88293286,4.78499500
34.12025735,9.09716330,4.84486091
34.68293639,9.07751994,4.80264871
35.37284714,9.07281798,4.73942736
36.07955942,9.16575744,4.66874685
34.83418883,9.30858154,4.81071496
34.79093368,9.16460817,4.80160585
34.92612265,9.16888533,4.79072941
34.28080039,9.15121970,4.83839287
34.41150374,9.20506480,4.83362822
34.32204562,9.37242939,4.85225236
34.54086133,9.15136981,4.81995552
34.50660695,9.33670459,4.83734462
33.40436135,9.13404664,4.88466535
33.49660268,9.23366779,4.88625998
33.58913184,9.09711718,4.87455132
35.05450894,9.20344378,4.78277494
35.10900432,9.32100131,4.78892405
34.97769800,9.33065788,4.80100278
35.20647545,9.17571205,4.76622900
36.37665240,8.35432275,4.52574651
36.30320172,7.97692804,4.48472199
36.34116467,8.16719314,4.50542289
36.36648560,9.06031699,4.61860133
36.54902771,9.12244836,4.60167158
36.42795159,9.24907970,4.63347723
36.46157654,9.42308969,4.64981558
36.31475488,9.39080645,4.66514951
36.60847875,9.33099467,4.61923870
35.92800213,9.02834572,4.67150163
36.25631311,9.20748002,4.65105839
33.75920809,9.19329329,4.87208044
36.48939348,8.92254106,4.58463604
36.45381019,8.73042235,4.56477035
36.41753824,8.54728306,4.54576271
33.93785062,9.07780777,4.85471022
34.03240388,9.22700205,4.85949315
33.89764086,9.29015228,4.87108589
35.74994318,9.32692184,4.72607002
35.89832552,9.22886716,4.69820559
36.26456047,7.78401650,4.46347578
34.16068747,9.28736594,4.85610317
34.02175254,9.58547752,4.88317647
33.88766016,9.64766274,4.89275164
33.89056928,9.48865617,4.88357318
33.79217109,9.77897629,4.90317286
33.75458698,9.59023370,4.89496407
