X,Y,Z
45.17727901,29.13425951,7.92134499
45.13771137,29.07838755,7.86674704
45.18180299,29.04286279,7.84742271
44.49252575,28.31847682,7.19692956
44.52223421,28.29377673,7.19466825
44.57749507,28.37043266,7.24906397
43.95547300,27.50617841,6.74971597
44.00983756,27.46209819,6.75117762
44.07936411,27.56197363,6.79594488
43.63176442,26.92266498,6.54679882
43.71939198,26.85295603,6.55043851
43.79711274,26.96746206,6.58754812
44.22697091,27.88368090,6.93890591
44.19302291,27.91183956,6.93781397
44.12735526,27.82262847,6.88832015
45.21712297,29.36098826,8.10434299
45.21080835,29.35267958,8.09567814
45.21537268,29.34798682,8.09866020
45.15706966,29.28195273,8.02218953
45.15628906,29.28376029,8.01684851
45.13035095,29.24969067,7.98151518
45.19058666,29.32881023,8.06379992
45.19133984,29.32705477,8.06899724
45.20244028,29.34166603,8.08420339
45.22111541,29.36890995,8.10575165
45.21637118,29.36267835,8.09922507
45.21006744,29.35439835,8.09055668
45.20169684,29.34340351,8.07905334
45.20702768,29.33692545,8.08719054
45.17584494,29.30944694,8.04359151
45.17661070,29.30766811,8.04885149
44.50816749,28.43248850,7.23338927
44.50929736,28.42991282,7.24166184
44.56518609,28.50342816,7.29887239
44.27299029,28.12361464,7.01368281
44.27425970,28.12074677,7.02317826
44.33485450,28.20045383,7.07616504
43.93950676,27.68041532,6.76851821
43.93803027,27.68370773,6.75723554
43.86450612,27.58715055,6.70873824
45.09595153,29.20450731,7.93494818
45.09676265,29.20263028,7.94052036
45.13114739,29.24784983,7.98695894
45.05461038,29.15020631,7.87951352
45.05543598,29.14828975,7.88523875
45.01099759,29.09292183,7.82176778
45.01184119,29.09096025,7.82766378
44.96618469,29.03406136,7.76332824
44.96704988,29.03204971,7.76940986
44.92020915,28.97367415,7.70441650
44.92109867,28.97160846,7.71069716
44.87305778,28.91174290,7.64518714
44.87397366,28.90962008,7.65167918
44.82469872,28.84822578,7.58577132
44.82564248,28.84604336,7.59248635
44.77510424,28.78308642,7.52630532
44.77607710,28.78084231,7.53325448
44.72425767,28.71630296,7.46693692
44.72526063,28.71399534,7.47413096
44.67214528,28.64785740,7.40781339
44.67317914,28.64548468,7.41526267
44.61875644,28.57773581,7.34907995
44.61982182,28.57529662,7.35679438
44.56408869,28.50593502,7.29088337
